title,author_text,remote_id,openlibrary_key,finna_key,inventaire_id,librarything_key,goodreads_key,bnf_id,viaf,wikidata,asin,aasin,isfdb,isbn_10,isbn_13,oclc_number,start_date,finish_date,stopped_date,rating,review_name,review_cw,review_content,review_published,shelf,shelf_name,shelf_date,pages,language
Dobles parelles,Montse Banegas,https://bookwyrm.social/book/345185,,,,,,,,,,,,8482565826,9788482565828.0,,,,,,,,,,to-read,To Read,2018-06-15,,ca
Doughnut Economics,Kate Raworth,https://bookwyrm.social/book/6505,OL26870871M,,,,,,,,,,,1847941389,9781847941381.0,,,,,,,,,,to-read,To Read,2023-09-23,,en
Eaten by the Internet,Corinne Cath,https://bookwyrm.social/book/1578908,,,,,,,,,,,,1913824055,9781913824051.0,,,,,,,,,,to-read,To Read,2024-02-20,,en
Eficiencia y productividad en arquitectura,"Agnieszka Stepien, Lorenzo Barnó",https://bookwyrm.social/book/345177,,,,,,,,,,,,849097652X,9788490976524.0,,,2019-06-30,,3.0,,,,,read,Read,2019-05-19,,es
El  código Da Vinci,Dan Brown,https://bookwyrm.social/book/60921,OL22140581M,,isbn:9788495618603,,,,,,,,,8495618605,9788495618603.0,,,,,,,,,,read,Read,2017-05-09,,es
El alma está en el cerebro,Eduardo Punset,https://bookwyrm.social/book/345181,,,,,,,,,,,,8466312,9788466310.0,,2008-01-01,2008-03-01,,,,,,,read,Read,2018-07-10,425.0,es
El cantar de Shannara,Terry Brooks,https://bookwyrm.social/book/345412,,,isbn:9788470024177,,,,,,,,,8470024175,9788470024177.0,,,1994-01-01,,3.0,,,,,read,Read,2017-05-10,546.0,es
El capital en la era del Antropoceno,Kohei Saito,https://bookwyrm.social/book/1133089,,,,,,,,,,,,8466671668,9788466671668.0,,,,,,,,,,to-read,To Read,2023-09-16,,es
El cel no és per a tothom,Marta Rojals,https://bookwyrm.social/book/180278,OL31845121M,,,,,,,,,,,8433915622,9788433915627.0,,2019-05-26,2020-04-10,,4.0,,,,,read,Read,2019-05-26,600.0,ca
El Club Dumas (la última puerta),Arturo Pérez-Reverte,https://bookwyrm.social/book/180335,OL18156981M,,,,,,,,,,,9681904966,9789681904968.0,47018143.0,,1997-01-01,,3.0,,,,,read,Read,2017-05-09,493.0,es
El Cuaderno Rojo / The Red Notebook,Paul Auster,https://bookwyrm.social/book/180381,OL9128713M,,,,,,,,,,,843390650X,9788433906502.0,,,2008-01-01,,5.0,,,,,read,Read,2017-05-10,91.0,es
El despertar del Leviatán,James S.A. Corey,https://bookwyrm.social/book/141464,OL26214252M,,isbn:9788466660150,,32023743.0,,,,,,,8466660151,9788466660150.0,,2022-01-17,2022-03-05,,3.0,,,,,read,Read,2022-03-05,,es
El espía que surgió del frío,John le Carré,https://bookwyrm.social/book/180264,,,isbn:9788497930505,,3376886.0,,,,,,,8497930509,9788497930505.0,,,,,3.0,,,,,read,Read,2018-04-22,,es
El Hobbit,J. R. R. Tolkien,https://bookwyrm.social/book/686867,OL9137994M,,,,,,,,,,,9505470630,9789505470631.0,,2000-01-01,2000-01-01,,,,,,,read,Read,2023-11-01,309,es
El hombre bicentenario y otros cuentos,Isaac Asimov,https://bookwyrm.social/book/178882,OL25535397M,,,,,,,,,,,9567510113,9789567510115.0,55414149.0,2011-01-01,2011-01-01,,,,,,,read,Read,2022-03-08,477.0,es
El hombre en busca de sentido,Viktor E. Frankl,https://bookwyrm.social/book/32775,OL26482265M,,,,,,,,,,,8425423317,9788425423314.0,868933175.0,2019-05-19,2019-05-30,,3.0,,,,,read,Read,2019-05-19,157.0,es
El juego del Ángel,Carlos Ruiz Zafón,https://bookwyrm.social/book/345400,,,isbn:9788408094197,,,,,,,,,840809419X,9788408094197.0,,,,,3.0,,,,,read,Read,2017-04-29,688,es
El martillo de Dios,Arthur C. Clarke,https://bookwyrm.social/book/345413,,,isbn:9788498724448,,,,,,,,,8498724449,9788498724448.0,,,,,1.0,,,,,read,Read,2017-05-09,,es
El misterio del solitario,Jostein Gaarder,https://bookwyrm.social/book/180337,OL25637819M,,,,,,,,,,,8478448845,9788478448845.0,,,2004-12-20,,4.0,,,,,read,Read,2017-04-29,,es
El Mundo de Sofía,Jostein Gaarder,https://bookwyrm.social/book/149520,OL9141953M,,isbn:9788478443222,,,,,,,,,8478443223,9788478443222.0,,1994-01-01,1994-01-01,,4.0,,,,,read,Read,2017-04-29,584.0,es
El mundo perdido,Arthur Conan Doyle,https://bookwyrm.social/book/297821,OL35262439M,,,,,,,,,,,8475250068,9788475250069.0,,1996-01-01,1996-04-01,,,,,,,read,Read,2022-03-07,,es
El nombre del viento,Patrick Rothfuss,https://bookwyrm.social/book/126948,OL23978458M,,isbn:9788401337208,,6483211.0,,,,,,,8401337208,9788401337208.0,495273390.0,,2013-01-01,,3.0,,,,,read,Read,2017-04-29,872.0,es
El ocho.,Katherine Neville,https://bookwyrm.social/book/180369,OL22145065M,,,,,,,,,,,8495501090,9788495501097.0,,,,,,,,,,read,Read,2017-10-20,,es
El peligro de una historia única,Ngozi Adichie,https://bookwyrm.social/book/180290,OL26492115M,,,,,,,,,,,8439733925,9788439733928.0,,,2018-10-15,,3.0,,,,,read,Read,2018-10-15,,es
El perfume,Patrick Süskind,https://bookwyrm.social/book/128997,OL35710440M,,isbn:9788432219283,,,,,,,,,8432219282,9788432219283.0,,,2007-01-01,,1.0,Pretencioso y tedioso. Más que un libro parece un ejercicio literario.,,Pretencioso y tedioso. Más que un libro parece un ejercicio literario.,2023-12-07,read,Read,2023-12-07,,es
El principito,Antoine de Saint-Exupéry,https://bookwyrm.social/book/141240,,,isbn:9788495971760,,,,,,,,,8495971763,9788495971760.0,,,2015-02-23,,5.0,,,,,read,Read,2015-02-23,96.0,es
El problema de la vivienda,Javier Burón,https://bookwyrm.social/book/2070203,,,,,,,,,,,,8410313448,9788410313446.0,,,,,,,,,,to-read,To Read,2025-08-18,,es
El ratpenat,Jo Nesbø,https://bookwyrm.social/book/345401,,,isbn:9788475885605,,,,,,,,,8475885608,9788475885605.0,,,2015-05-01,,4.0,,,,,read,Read,2017-05-09,,ca
El sabueso de los Baskerville,"Arthur Conan Doyle, Benjamin Briggent",https://bookwyrm.social/book/345355,OL47117485M,,isbn:9788493806194,,,,,,,,,8493806196,9788493806194.0,,,,,3.0,,,,,read,Read,2017-11-04,,es
El Señor de los Anillos y la filosofía,"Gregory Bassham, Eric Bronson",https://bookwyrm.social/book/345408,,,isbn:9788408034117,,,,,,,,,8408034111,9788408034117.0,,,2013-01-01,,3.0,,,,,read,Read,2017-05-10,,es
El Silmarillion,"J. R. R. Tolkien, Rubén Masera, Luis Domènech",https://bookwyrm.social/book/117597,OL30545717M,,,,,,,,,,,8445073818,9788445073810.0,,,,,,,,,,read,Read,2017-05-09,416,es
El sol de Breda,Arturo Pérez-Reverte,https://bookwyrm.social/book/180339,OL24910461M,,,,,,,,,,,8420483125,9788420483122.0,,,1998-12-31,,3.0,,,,,read,Read,2017-11-04,,es
El Tio Petros y La Conjetura de Glodbach,"Apostolos Doxiadis, Apostolos K. Doxiadēs",https://bookwyrm.social/book/144448,OL9131434M,,isbn:9788440698773,,,,,,,,,8440698771,9788440698773.0,48855189.0,1999-07-01,1999-07-28,,,,,,,read,Read,2020-08-23,,es
